"cep","geo","id_bairro","bairro","distrito","regional"
"88050541","-27.50476500386448, -48.50998862928722","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050542","-27.5107133, -48.5124715","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050545","-27.5051400, -48.5117505","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050597","-27.50485129169675, -48.51267419640894","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88050600","-27.4993805, -48.5112365","13964","SANTO ANTÔNIO DE LISBOA","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051000","-27.4906225, -48.5307878","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051001","-27.489499746676174, -48.537568250815866","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051010","-27.4870994, -48.5203706","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051011","-27.4871274, -48.5205766","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051020","-27.4944210, -48.5231215","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051030","-27.4939341, -48.5228828","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051040","-27.4922200, -48.5244417","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051045","-27.4900130, -48.5224467","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051050","-27.489499746676175, -48.537568250815867","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051058","-27.489499746676176, -48.537568250815868","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051100","-27.4940382, -48.5247910","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051103","-27.491267342612562, -48.528211386251875","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051110","-27.4938940, -48.5250539","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051123","-27.491267342612563, -48.528211386251876","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051143","-27.49027611203722, -48.529116445413415","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051145","-27.48888280024083, -48.52914569390348","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051150","-27.4888046, -48.5303539","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051157","-27.489133342905856, -48.530161854632084","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051160","-27.4889237, -48.5300632","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051200","-27.4878653, -48.5306848","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051210","-27.4867802, -48.5311716","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051215","-27.48973824448826, -48.53214264313943","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051220","-27.488947621680243, -48.53437188220408","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051300","-27.488947621680244, -48.53437188220409","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051310","-27.488705910050943, -48.53672044892208","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051316","-27.487634520401215, -48.537750251287996","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051370","-27.488705910050944, -48.53672044892209","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051400","-27.4872675, -48.5157467","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051405","-27.488705910050945, -48.53672044892210","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051410","-27.488705910050946, -48.53672044892211","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051420","-27.483867388929227, -48.51991521962327","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051424","-27.483867388929228, -48.51991521962328","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051430","-27.4829523, -48.5183091","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051431","-27.4808218, -48.5178246","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051432","-27.4832573, -48.5189634","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051433","-27.481753253856052, -48.51796838649224","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051435","-27.4834981, -48.5176436","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051438","-27.481753253856053, -48.51796838649225","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051440","-27.48015476304786, -48.5200940139451","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051460","-27.4806834, -48.5209469","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051480","-27.4791693, -48.5233822","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88051482","-27.479637220081173, -48.523014504977965","13962","SAMBAQUI","SANTO ANTÔNIO DE LISBOA","CANASVIEIRAS"
"88052000","-27.493898073803386, -48.5051687503387","13956","RATONES","RATONES","CANASVIEIRAS"
"88052100","-27.4982053, -48.4918751","13956","RATONES","RATONES","CANASVIEIRAS"
"88052102","-27.494950955571614, -48.49275234071979","13956","RATONES","RATONES","CANASVIEIRAS"
"88052105","-27.4940808824016, -48.49490385026476","13956","RATONES","RATONES","CANASVIEIRAS"
"88052106","-27.495290568186245, -48.49356726674332","13956","RATONES","RATONES","CANASVIEIRAS"
"88052107","-27.4940808824017, -48.49490385026477","13956","RATONES","RATONES","CANASVIEIRAS"
"88052108","-27.50357260457997, -48.49132134056399","13956","RATONES","RATONES","CANASVIEIRAS"
"88052109","-27.505171575241796, -48.49244489401292","13956","RATONES","RATONES","CANASVIEIRAS"
"88052110","-27.5082546, -48.4936132","13956","RATONES","RATONES","CANASVIEIRAS"
"88052111","-27.50357260457998, -48.49132134056400","13956","RATONES","RATONES","CANASVIEIRAS"
"88052112","-27.4944356, -48.4935040","13956","RATONES","RATONES","CANASVIEIRAS"
"88052113","-27.506350798617728, -48.49060326378039","13956","RATONES","RATONES","CANASVIEIRAS"
"88052114","-27.5057983, -48.4900945","13956","RATONES","RATONES","CANASVIEIRAS"
"88052115","-27.506270894444686, -48.49258668882161","13956","RATONES","RATONES","CANASVIEIRAS"
"88052116","-27.50416409781799, -48.4900815297718","13956","RATONES","RATONES","CANASVIEIRAS"
"88052117","-27.505583404713484, -48.48840429347939","13956","RATONES","RATONES","CANASVIEIRAS"
"88052118","-27.50395345140552, -48.490673329646","13956","RATONES","RATONES","CANASVIEIRAS"
"88052120","-27.5043257, -48.4864915","13956","RATONES","RATONES","CANASVIEIRAS"
"88052122","-27.5085893, -48.4874323","13956","RATONES","RATONES","CANASVIEIRAS"
"88052125","-27.50395345140553, -48.490673329647","13956","RATONES","RATONES","CANASVIEIRAS"
"88052127","-27.50395345140554, -48.490673329648","13956","RATONES","RATONES","CANASVIEIRAS"
"88052130","-27.506738317398195, -48.49069087867793","13956","RATONES","RATONES","CANASVIEIRAS"
"88052135","-27.5106501, -48.4860699","13956","RATONES","RATONES","CANASVIEIRAS"
"88052138","-27.506738317398196, -48.49069087867794","13956","RATONES","RATONES","CANASVIEIRAS"
"88052141","-27.51121826174445, -48.4883343705705","13956","RATONES","RATONES","CANASVIEIRAS"
"88052145","-27.5112910, -48.4883432","13956","RATONES","RATONES","CANASVIEIRAS"
"88052150","-27.5120613, -48.4861080","13956","RATONES","RATONES","CANASVIEIRAS"
"88052156","-27.511963238836994, -48.48536208465752","13956","RATONES","RATONES","CANASVIEIRAS"
"88052160","-27.5092532, -48.4829724","13956","RATONES","RATONES","CANASVIEIRAS"
"88052162","-27.506128198130696, -48.481708954362254","13956","RATONES","RATONES","CANASVIEIRAS"
"88052170","-27.506339928599285, -48.47675973789823","13956","RATONES","RATONES","CANASVIEIRAS"
"88052195","-27.506339928599286, -48.47675973789824","13956","RATONES","RATONES","CANASVIEIRAS"
"88052200","-27.5022377, -48.4660666","13956","RATONES","RATONES","CANASVIEIRAS"
"88052205","-27.5099568, -48.4686912","13956","RATONES","RATONES","CANASVIEIRAS"
"88052208","-27.506339928599287, -48.47675973789825","13956","RATONES","RATONES","CANASVIEIRAS"
"88052210","-27.506339928599288, -48.47675973789826","13956","RATONES","RATONES","CANASVIEIRAS"
"88052215","-27.506339928599289, -48.47675973789827","13956","RATONES","RATONES","CANASVIEIRAS"
"88052218","-27.506339928599290, -48.47675973789828","13956","RATONES","RATONES","CANASVIEIRAS"
"88052220","-27.5069998, -48.4659820","13956","RATONES","RATONES","CANASVIEIRAS"
"88052250","-27.5067557, -48.4565875","13956","RATONES","RATONES","CANASVIEIRAS"
"88052252","-27.506339928599291, -48.47675973789829","13956","RATONES","RATONES","CANASVIEIRAS"
"88052254","-27.501169712338132, -48.45794315818769","13956","RATONES","RATONES","CANASVIEIRAS"
"88052258","-27.5007287, -48.4574089","13956","RATONES","RATONES","CANASVIEIRAS"
"88052300","-27.5148984, -48.4689012","13956","RATONES","RATONES","CANASVIEIRAS"
"88052330","-27.53244318973681, -48.456884270428105","13956","RATONES","RATONES","CANASVIEIRAS"
"88052400","-27.4814063, -48.4628379","13968","VARGEM PEQUENA","RATONES","CANASVIEIRAS"
"88052401","-27.4515538, -48.4572394","13968","VARGEM PEQUENA","RATONES","CANASVIEIRAS"
"88052403","-27.449571912105268, -48.450524808922936","13968","VARGEM PEQUENA","RATONES","CANASVIEIRAS"
"88052405","-27.449571912105269, -48.450524808922937","13968","VARGEM PEQUENA","RATONES","CANASVIEIRAS"
"88052410","-27.4780291, -48.4590567","13968","VARGEM PEQUENA","RATONES","CANASVIEIRAS"
"88052415","-27.4786316, -48.4623422","13968","VARGEM PEQUENA","RATONES","CANASVIEIRAS"
"88052417","-27.468396083009836, -48.46515076896813","13968","VARGEM PEQUENA","RATONES","CANASVIEIRAS"
"88052420","-27.468768407703124, -48.46426610613571","13968","VARGEM PEQUENA","RATONES","CANASVIEIRAS"
"88052435","-27.47013734113429, -48.46023041459681","13968","VARGEM PEQUENA","RATONES","CANASVIEIRAS"
"88052445","-27.4706002, -48.4593021","13968","VARGEM PEQUENA","RATONES","CANASVIEIRAS"
"88052470","-27.480997688195615, -48.45690166487508","13968","VARGEM PEQUENA","RATONES","CANASVIEIRAS"
